"icao_aerolinea";"iata_aeropuerto";"fecha";"hora";"vuelo";"origen";"estado";"numero_vuelo";"name";"city";"country";"icao_aeropuerto";"latitude";"longitude";"altitude";"tz";"name_aerolinea";"country_aerolinea";"PAX_medio_aeropuerto";"PAX_medio_compañia"
"AAL";"MAD";"2025-11-09";"17:05";"AAL8714";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8714";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-14";"09:05";"AAL8715";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8715";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-15";"09:05";"AAL8715";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8715";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-18";"17:05";"AAL8714";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8714";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-20";"17:05";"AAL8714";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8714";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-11";"09:05";"AAL8715";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8715";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-19";"17:05";"AAL8714";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8714";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-16";"17:05";"AAL8714";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8714";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-19";"09:05";"AAL8715";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8715";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-11";"09:05";"AAL8715";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8715";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-21";"17:05";"AAL8714";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8714";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-18";"09:05";"AAL8715";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8715";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-12";"17:05";"AAL8714";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8714";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-21";"09:05";"AAL8715";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8715";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-10";"17:05";"AAL8714";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8714";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-13";"17:05";"AAL8714";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8714";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-22";"09:05";"AAL8715";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8715";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
"AAL";"MAD";"2025-11-15";"17:05";"AAL8714";"MADRID-BARAJAS ADOLFO SUÁREZ (MAD)";"No informado";"8714";"Adolfo Suárez Madrid–Barajas Airport";"Madrid";"Spain";"LEMD";"40.471926";"-3.56264";"1998";"Europe/Madrid";"American Airlines";"United States";"0,0942599047685170";NA
